***** N = 1 *****
N       RTT           SRTT          RTT_VAR       RTO           
98      500.000000    325.000363    174.999951    1025.000168   
99      125.000000    300.000318    175.000043    1000.000489   
100     500.000000    325.000278    174.999963    1025.000128   
101     125.000000    300.000243    175.000033    1000.000374   
102     500.000000    325.000213    174.999971    1025.000098   
103     125.000000    300.000186    175.000025    1000.000286   
104     500.000000    325.000163    174.999978    1025.000075   
105     125.000000    300.000143    175.000019    1000.000219   
106     500.000000    325.000125    174.999983    1025.000058   
107     125.000000    300.000109    175.000015    1000.000168   
108     500.000000    325.000095    174.999987    1025.000044   
109     125.000000    300.000084    175.000011    1000.000129   
110     500.000000    325.000073    174.999990    1025.000034   
111     125.000000    300.000064    175.000009    1000.000098   
112     500.000000    325.000056    174.999992    1025.000026   
113     125.000000    300.000049    175.000007    1000.000075   
114     500.000000    325.000043    174.999994    1025.000020   
115     125.000000    300.000037    175.000005    1000.000058   
116     500.000000    325.000033    174.999996    1025.000015   
117     125.000000    300.000029    175.000004    1000.000044   
118     500.000000    325.000025    174.999997    1025.000012   
119     125.000000    300.000022    175.000003    1000.000034   
***** N = 3 *****
N       RTT           SRTT          RTT_VAR       RTO           
0       500.000000    325.000019    174.999997    1025.000009   
1       125.000000    300.000017    175.000002    1000.000026   
2       125.000000    278.125015    169.531255    956.250036    
3       500.000000    305.859388    175.683595    1008.593766   
4       125.000000    283.251964    171.325687    968.554712    
5       125.000000    263.470469    163.111882    915.917999    
6       500.000000    293.036660    174.074747    989.335647    
7       125.000000    272.032078    167.314080    941.288396    
8       125.000000    253.653068    157.648827    884.248375    
9       500.000000    284.446434    172.125011    972.946480    
10      125.000000    264.515630    163.972666    920.406294    
11      125.000000    247.076176    153.498544    861.070351    
12      500.000000    278.691654    170.450994    960.495631    
13      125.000000    259.480198    161.458295    905.313378    
14      125.000000    242.670173    150.511264    844.715231    
15      500.000000    274.836401    169.174348    951.533793    
16      125.000000    256.106851    159.657474    894.736746    
17      125.000000    239.718495    148.422729    833.409411    
18      500.000000    272.253683    168.253626    945.268187    
19      125.000000    253.846973    158.401963    887.454823    
20      125.000000    237.741101    146.986747    825.688090    
21      500.000000    270.523463    167.609195    940.960242    
22      125.000000    252.333030    157.540154    882.493645    
23      125.000000    236.416402    146.009216    820.453264    
24      500.000000    269.364351    167.165824    938.027647    
25      125.000000    251.318807    156.954070    879.135086    
26      125.000000    235.528957    145.347791    816.920122    
27      500.000000    268.587837    166.863884    936.043374    
28      125.000000    250.639357    156.557753    876.870368    
29      125.000000    234.934438    144.901924    814.542133    
30      500.000000    268.067633    166.659535    934.705772    
31      125.000000    250.184179    156.290696    875.346962    
32      125.000000    234.536156    144.602061    812.944400    
